Año,Periodo,Precio
2002,Semana 2,0.67
2002,Semana 3,0.67
2002,Semana 4,0.67
2002,Semana 5,0.67
2002,Semana 6,0.67
2002,Semana 7,0.67
2002,Semana 8,0.67
2002,Semana 9,0.67
2002,Semana 10,0.67
2002,Semana 11,0.69
2002,Semana 12,0.69
2002,Semana 13,0.70
2002,Semana 15,0.70
2002,Semana 16,0.71
2002,Semana 17,0.71
2002,Semana 18,0.71
2002,Semana 19,0.71
2002,Semana 20,0.71
2002,Semana 21,0.71
2002,Semana 22,0.70
2002,Semana 23,0.69
2002,Semana 24,0.68
2002,Semana 25,0.68
2002,Semana 26,0.68
2002,Semana 27,0.68
2002,Semana 28,0.68
2002,Semana 29,0.68
2002,Semana 30,0.68
2002,Semana 31,0.68
2002,Semana 32,0.68
2002,Semana 33,0.68
2002,Semana 34,0.68
2002,Semana 35,0.69
2002,Semana 36,0.69
2002,Semana 37,0.69
2002,Semana 38,0.70
2002,Semana 39,0.70
2002,Semana 40,0.71
2002,Semana 41,0.71
2002,Semana 42,0.71
2002,Semana 43,0.71
2002,Semana 44,0.71
2002,Semana 45,0.70
2002,Semana 46,0.68
2002,Semana 47,0.67
2002,Semana 48,0.67
2002,Semana 49,0.68
2002,Semana 50,0.68
2002,Semana 51,0.68
2003,Semana 2,0.72
2003,Semana 3,0.72
2003,Semana 4,0.71
2003,Semana 5,0.72
2003,Semana 6,0.72
2003,Semana 7,0.73
2003,Semana 8,0.73
2003,Semana 9,0.74
2003,Semana 10,0.76
2003,Semana 11,0.76
2003,Semana 12,0.77
2003,Semana 13,0.77
2003,Semana 14,0.76
2003,Semana 15,0.73
2003,Semana 16,0.72
2003,Semana 18,0.70
2003,Semana 19,0.70
2003,Semana 20,0.68
2003,Semana 21,0.68
2003,Semana 22,0.67
2003,Semana 23,0.67
2003,Semana 24,0.66
2003,Semana 25,0.66
2003,Semana 26,0.66
2003,Semana 27,0.66
2003,Semana 28,0.67
2003,Semana 29,0.67
2003,Semana 30,0.67
2003,Semana 31,0.67
